16777216,5,35.4959,36.078,35.3187,0,11.2905,11.416,11.2623,25,25,0
16777216,11,35.4776,35.8991,35.2779,0,12.0573,12.0834,12.037,25,25,0
16777216,101,35.5004,35.7474,35.2737,0,14.5853,14.6274,14.5546,25,25,0
16777216,1001,35.4876,35.666,35.2136,0,23.2328,23.772,23.0406,25,25,0
67108864,5,138.862,139.784,137.954,0,34.9649,35.1884,34.9196,25,25,0
67108864,11,139.009,139.991,138.14,0,38.6061,38.6402,38.5726,25,25,0
67108864,101,138.972,139.572,138.326,0,46.8097,46.9101,46.7226,25,25,0
67108864,1001,139.134,141.184,138.202,0,81.5715,82.2038,80.8931,25,25,0
268435456,5,553.62,564.694,549.075,0,130.512,131.659,130.358,25,25,0
268435456,11,553.225,556.351,550.51,0,144.825,144.918,144.758,25,25,0
268435456,101,554.39,564.85,550.108,0,175.911,176.153,175.668,25,25,0
268435456,1001,554.034,564.313,549.603,0,316.16,318.739,312.837,25,25,0
