16777216,5,125.832,126.161,125.446,0,11.7452,11.7783,11.7022,25,25,0
16777216,11,125.786,126.35,124.325,0,12.5575,12.6149,12.5054,25,25,0
16777216,101,125.628,126.147,124.424,0,16.3971,16.4819,16.3322,25,25,0
16777216,1001,125.905,126.572,125.136,0,37.9412,38.3579,37.6095,25,25,0
67108864,5,498.943,500.366,494.675,0,35.7176,36.3345,35.5822,25,25,0
67108864,11,498.541,500.664,494.504,0,40.0401,40.1895,39.9414,25,25,0
67108864,101,499.497,502.352,497.219,0,52.8428,53.1251,52.5953,25,25,0
67108864,1001,498.494,500.434,494.72,0,139.381,142.002,138.215,25,25,0
268435456,5,2003.12,2007.21,1986.68,0,132.962,133.334,132.576,25,25,0
268435456,11,2003.39,2007.83,1997.16,0,148.32,148.796,147.888,25,25,0
268435456,101,2002.58,2012.21,1985.8,0,199.525,201.303,198.673,25,25,0
268435456,1001,2003.51,2015.19,1985.28,0,547.827,556.001,540.733,25,25,0
